name,year,temparature
Rukwa, 2003 ,22.2920648174
Rukwa, 2002 ,22.0270612851
Rukwa, 2001 ,21.9675115001
Rukwa, 2000 ,21.8045282717
Kigoma, 2016 ,23.1989442333
Kigoma, 2015 ,22.8598070378
Kigoma, 2014 ,22.9613857407
Kigoma, 2013 ,22.8277462656
Kigoma, 2012 ,22.831930413
Kigoma, 2011 ,22.5802305291
Kigoma, 2010 ,23.0853720617
Kigoma, 2009 ,22.9653232296
Kigoma, 2008 ,22.4435708668
Kigoma, 2007 ,22.6494728158
Kigoma, 2006 ,22.729194746
Kigoma, 2005 ,23.5593040758
Kigoma, 2004 ,23.1011072958
Kigoma, 2003 ,23.3522018371
Kigoma, 2002 ,23.1256783062
Kigoma, 2001 ,22.9641516889
Kigoma, 2000 ,22.8197564121
Tanga, 2016 ,24.8303383087
Tanga, 2015 ,24.7027587794
Tanga, 2014 ,24.5352871616
Tanga, 2013 ,24.407732699
Tanga, 2012 ,24.3755659337
Tanga, 2011 ,24.2941302521
Tanga, 2010 ,24.5384871867
Tanga, 2009 ,24.5027908346
Tanga, 2008 ,23.9800353312
Tanga, 2007 ,24.1569343423
Tanga, 2006 ,24.2530715313
Tanga, 2005 ,24.6447822692
Tanga, 2004 ,24.247523825
Tanga, 2003 ,24.6839319397
Tanga, 2002 ,24.4341693487
Tanga, 2001 ,24.2794461101
Tanga, 2000 ,24.1639679844
Dodoma, 2016 ,22.6296188292
Dodoma, 2015 ,22.4863019833
Dodoma, 2014 ,22.3463761641
Dodoma, 2013 ,22.2833357771
Dodoma, 2012 ,22.2408451131
Dodoma, 2011 ,22.0955087737
Dodoma, 2010 ,22.3973767077
Dodoma, 2009 ,22.3259220355
Dodoma, 2008 ,21.8031545495
Dodoma, 2007 ,22.0212964878
Dodoma, 2006 ,22.1817987939
Dodoma, 2005 ,22.6624537518
Dodoma, 2004 ,22.2364776849
Dodoma, 2003 ,22.6621716515
Dodoma, 2002 ,22.3542340759
Dodoma, 2001 ,22.1933203163
Dodoma, 2000 ,22.1648333522
Zanzibar South & Central, 2016 ,26.864130594
Zanzibar South & Central, 2015 ,26.8539861805
Zanzibar South & Central, 2014 ,26.6144931904
Zanzibar South & Central, 2013 ,26.5079713284
Zanzibar South & Central, 2012 ,26.3789858819
Zanzibar South & Central, 2011 ,26.3811599207
Zanzibar South & Central, 2010 ,26.6456524532
Zanzibar South & Central, 2009 ,26.5811598474
Zanzibar South & Central, 2008 ,26.1456524532
Zanzibar South & Central, 2007 ,26.3416670163
Zanzibar South & Central, 2006 ,26.3268120463
Zanzibar South & Central, 2005 ,26.6579712994
Zanzibar South & Central, 2004 ,26.4101451032
Zanzibar South & Central, 2003 ,26.8036234762
Zanzibar South & Central, 2002 ,26.5268119731
Zanzibar South & Central, 2001 ,26.397826416
Zanzibar South & Central, 2000 ,26.2351453064
North Pemba, 2016 ,26.883333842
North Pemba, 2015 ,26.8083335559
North Pemba, 2014 ,26.6416670481
North Pemba, 2013 ,26.4833339055
North Pemba, 2012 ,26.4250005086
North Pemba, 2011 ,26.4166669846
North Pemba, 2010 ,26.6250003179
North Pemba, 2009 ,26.5916673342
North Pemba, 2008 ,26.0916671753
North Pemba, 2007 ,26.2833336194
North Pemba, 2006 ,26.3000001907
North Pemba, 2005 ,26.6166667938
North Pemba, 2004 ,26.3416668574
North Pemba, 2003 ,26.7250005404
North Pemba, 2002 ,26.4833339055
North Pemba, 2001 ,26.3666672707
North Pemba, 2000 ,26.2000001272
Zanzibar North, 2016 ,26.9097323536
Zanzibar North, 2015 ,26.8699112051
Zanzibar North, 2014 ,26.6456104049
Zanzibar North, 2013 ,26.5224557907
Zanzibar North, 2012 ,26.4296430183
Zanzibar North, 2011 ,26.4122772455
Zanzibar North, 2010 ,26.6615776157
Zanzibar North, 2009 ,26.6180656736
Zanzibar North, 2008 ,26.1442117944
Zanzibar North, 2007 ,26.3416671268
Zanzibar North, 2006 ,26.3449109508
Zanzibar North, 2005 ,26.6840330267
Zanzibar North, 2004 ,26.4224557271
Zanzibar North, 2003 ,26.80508967
Zanzibar North, 2002 ,26.5449111398
Zanzibar North, 2001 ,26.4231550876
Zanzibar North, 2000 ,26.2532442523
Zanzibar Urban/West, 2016 ,26.8750001589
Zanzibar Urban/West, 2015 ,26.8583340645
Zanzibar Urban/West, 2014 ,26.6166671117
Zanzibar Urban/West, 2013 ,26.5166668892
Zanzibar Urban/West, 2012 ,26.383333683
Zanzibar Urban/West, 2011 ,26.383333842
Zanzibar Urban/West, 2010 ,26.6500002543
Zanzibar Urban/West, 2009 ,26.5833338102
Zanzibar Urban/West, 2008 ,26.1500002543
Zanzibar Urban/West, 2007 ,26.3416670163
Zanzibar Urban/West, 2006 ,26.3333338102
Zanzibar Urban/West, 2005 ,26.6666669846
Zanzibar Urban/West, 2004 ,26.4166668256
Zanzibar Urban/West, 2003 ,26.816666921
Zanzibar Urban/West, 2002 ,26.5333337784
Zanzibar Urban/West, 2001 ,26.4000002543
Zanzibar Urban/West, 2000 ,26.2416671117
South Pemba, 2016 ,26.883333842
South Pemba, 2015 ,26.8083335559
South Pemba, 2014 ,26.6416670481
South Pemba, 2013 ,26.4833339055
South Pemba, 2012 ,26.4250005086
South Pemba, 2011 ,26.4166669846
South Pemba, 2010 ,26.6250003179
South Pemba, 2009 ,26.5916673342
South Pemba, 2008 ,26.0916671753
South Pemba, 2007 ,26.2833336194
South Pemba, 2006 ,26.3000001907
South Pemba, 2005 ,26.6166667938
South Pemba, 2004 ,26.3416668574
South Pemba, 2003 ,26.7250005404
South Pemba, 2002 ,26.4833339055
South Pemba, 2001 ,26.3666672707
South Pemba, 2000 ,26.2000001272
Katavi, 2016 ,23.0926067678
Katavi, 2015 ,22.8503204928
Katavi, 2014 ,22.8799748017
Katavi, 2013 ,22.78358638
Katavi, 2012 ,22.7341149879
Katavi, 2011 ,22.4876151028
Katavi, 2010 ,23.0187080299
Katavi, 2009 ,22.7308797523
Katavi, 2008 ,22.2976026362
Katavi, 2007 ,22.5762205495
Katavi, 2006 ,22.6088062168
Katavi, 2005 ,23.4595970739
Katavi, 2004 ,22.8849794094
Katavi, 2003 ,23.2155722672
Katavi, 2002 ,22.9339631282
Katavi, 2001 ,22.8286257712
Katavi, 2000 ,22.7347299015
Njombe, 2016 ,19.976444425
Njombe, 2015 ,20.0090741591
Njombe, 2014 ,19.7639052657
Njombe, 2013 ,19.749238357
Njombe, 2012 ,19.578496350000002
Njombe, 2011 ,19.5742823341
Njombe, 2010 ,20.0771273914
Njombe, 2009 ,19.7430279625
Njombe, 2008 ,19.4682198916
Njombe, 2007 ,19.7866610811
Njombe, 2006 ,19.8238325563
Njombe, 2005 ,20.3479858101
Njombe, 2004 ,19.8302925597
Njombe, 2003 ,20.1165325561
Njombe, 2002 ,19.8206726586
Njombe, 2001 ,19.77968723
Njombe, 2000 ,19.6128213022
Geita, 2016 ,23.3277980126
Geita, 2015 ,22.8986878194
Geita, 2014 ,23.0001280028
Geita, 2013 ,22.885146373
Geita, 2012 ,22.9711698248
Geita, 2011 ,22.7364223361
Geita, 2010 ,23.172735681
Geita, 2009 ,23.2125625567
Geita, 2008 ,22.5631783322
Geita, 2007 ,22.7242243534
Geita, 2006 ,22.8479064863
Geita, 2005 ,23.5719701656
Geita, 2004 ,23.2700783895
Geita, 2003 ,23.4839450678
